"","Round_FDP","VREPB","DVEPB","Welch","B_F","EV_test"
"1",1,0,0.101351351351351,0,0,0
"2",2,0,0.156565656565657,0,0,0
"3",3,0,0.0955056179775281,0,0,0
"4",4,0,0.127167630057803,0,0,0
"5",5,0,0.108108108108108,0,0,0
"6",6,0,0.137724550898204,0,0,0
"7",7,0,0.125874125874126,0,0,0
"8",8,0,0.104938271604938,0,0,0
"9",9,0,0.117241379310345,0,0,0
"10",10,0,0.103030303030303,0,0,0
"11",11,0,0.0625,0,0,0
"12",12,0,0.114942528735632,0,0,0
"13",13,0,0.127777777777778,0,0,0
"14",14,0,0.15625,0,0,0
"15",15,0,0.0828025477707006,0,0,0
"16",16,0,0.1125,0,0,0
"17",17,0,0.11038961038961,0,0,0
"18",18,0,0.164021164021164,0,0,0
"19",19,0,0.0955414012738854,0,0,0
"20",20,0,0.0887573964497041,0,0,0
"21",21,0,0.0967741935483871,0,0,0
"22",22,0,0.0773809523809524,0,0,0
"23",23,0,0.116959064327485,0,0,0
"24",24,0,0.141975308641975,0,0,0
"25",25,0,0.06875,0,0,0
