"","GSM1679409","GSM1679410","GSM1679411","GSM1679412","GSM1679413","GSM1679414"
"MIPEPP3",5.7650277215,5.761766223,5.851468762,5.9188238775,5.801078401,5.8125355125
"MIPOL1",4.51214667,4.641849949,4.72506673066667,4.30223938766667,4.431028386,4.32559195766667
"MIR1-1HG",6.201249401,6.145436173,6.242751443,6.263199407,6.221688478,6.365277977
"MIR101-1",4.584633451,4.233754024,4.348231579,5.90206591,5.32894802,4.828093342
"MIR124-1HG",5.5024444245,5.6540855065,5.631381612,5.6544579445,5.697527215,5.8440874065
"MIR124-2HG",3.362642453,3.2783099215,3.2651246835,3.38823871,3.3342732,3.354494363
"MIR1244-1",11.89575186,11.92731561,11.95046618,11.76107686,11.73920384,11.86831759
"MIR133A1HG",3.216501656,2.761664008,3.094343732,2.966325631,2.905375351,3.172049674
"MIR155HG",2.60731018,2.864372036,2.489909589,2.389030187,2.599039751,2.50570581
"MIR181A2HG",5.350011405,5.662006527,5.809704474,5.37387255,5.319659976,5.197851204
"MIR18A",5.265895218,5.272270783,5.480211234,6.050578702,6.378210748,5.812043596
"MIR1915HG",5.725303288,5.58953384733333,5.378142015,5.81349361766667,5.51396412066667,5.603325574
"MIR194-2HG",4.830386731,4.829636495,5.038160799,4.8423825865,4.85515559,5.1441743015
"MIR200CHG",6.645089094,6.468964563,6.183682031,6.709581023,6.511286727,6.556068032
"MIR2052HG",4.146691775,4.149817251,4.082379591,4.398423396,4.316732192,4.314160121
"MIR205HG",6.4944901145,6.8604295115,6.2165004105,4.4991915045,4.5602924665,4.2223922775
"MIR210HG",5.9376499535,6.0341932045,5.5660018645,5.608774588,5.4667920625,5.424835045
"MIR22HG",8.927632629,8.63320652,8.839251705,10.60023192,10.85463931,10.054103
"MIR23AHG",7.160268121,6.9998321055,6.859379785,8.116048738,7.8739431155,7.484840848
"MIR29B2CHG",5.934905875,6.19971701,6.486417032,7.564376776,7.046798638,6.654248219
"MIR30DHG",4.7352884215,4.7684181335,4.475078325,5.619642729,5.6447232635,5.430131601
"MIR3142HG",2.691237117,2.179467869,2.391658446,2.381032787,2.527174601,2.529374414
"MIR3147HG",6.113795238,5.691502871,5.984510731,6.080165574,6.049458603,5.963475617
"MIR3150BHG",4.721380767,5.102416734,5.226738463,5.286446365,5.421789474,5.316185032
"MIR31HG",5.054228755,4.884283907,5.13031537,4.753563642,4.857296023,4.940362911
"MIR34AHG",5.401565077,5.535081683,5.59825006,5.392024559,4.783756844,5.152677372
"MIR34BHG",2.816979232,2.67532203,2.781551622,2.560570822,2.712596637,2.67647438
"MIR3667HG",4.6642268155,4.782517323,4.616191411,4.828034479,4.697563765,4.808247126
"MIR3681HG",4.16184823733333,4.14138618733333,4.16865232966667,4.14643747133333,4.21760960633333,4.29925615866667
"MIR3682",6.048954845,6.312272154,6.276166117,7.109914372,7.630938214,6.920503699
"MIR3936HG",6.372850538,6.373622495,6.299519322,6.425377486,6.240660509,6.373401676
"MIR3945HG",4.101258271,4.0087064075,4.0271851935,3.80373589,3.9553632775,4.111650841
"MIR3976HG",2.72336142,2.433703835,2.535919204,2.599366948,2.68517766,2.728007947
"MIR4290HG",2.213399341,2.575199631,2.058421738,2.414750314,2.463770932,2.310903948
"MIR4296",4.193902786,3.738361007,3.86486965,5.082388339,4.279802693,4.85290551
"MIR4300HG",4.348892132,4.191256865,4.262466323,4.026126916,3.997598753,4.492395652
"MIR4307HG",3.398765364,3.280154266,3.418750869,3.298448995,2.970009475,2.968182284
"MIR4435-2HG",3.215717656,3.267887169,3.058260581,3.36208162,3.160020542,3.200628307
"MIR4453HG",6.281692355,6.109410396,5.940801642,6.68855408,6.477306185,6.219721754
