"","Round_FDP","VREPB","DVEPB","Welch","B_F","EV_test"
"1",1,0,0.111842105263158,0,0,0
"2",2,0,0.154639175257732,0,0,0
"3",3,0,0.100558659217877,0,0,0
"4",4,0,0.132947976878613,0,0,0
"5",5,0,0.112299465240642,0,0,0
"6",6,0,0.143712574850299,0,0,0
"7",7,0,0.166666666666667,0,0,0
"8",8,0,0.110429447852761,0,0,0
"9",9,0,0.114864864864865,0,0,0
"10",10,0,0.102409638554217,0,0,0
"11",11,0,0.0731707317073171,0,0,0
"12",12,0,0.125,0,0,0
"13",13,0,0.133333333333333,0,0,0
"14",14,0,0.166666666666667,0,0,0
"15",15,0,0.0817610062893082,0,0,0
"16",16,0,0.115853658536585,0,0,0
"17",17,0,0.108974358974359,0,0,0
"18",18,0,0.169312169312169,0,0,0
"19",19,0,0.10062893081761,0,0,0
"20",20,0,0.0778443113772455,0,0,0
"21",21,0,0.0962566844919786,0,0,0
"22",22,0,0.0823529411764706,0,0,0
"23",23,0,0.127167630057803,0,0,0
"24",24,0,0.135802469135802,0,0,0
"25",25,0,0.0792682926829268,0,0,0
